Date	Day	Time	Pred(Ft)	Pred(cm)	High/Low
2017/05/13	Sat	08:30 PM	3.04	93	L
2017/05/14	Sun	02:21 AM	7.73	236	H
2017/05/14	Sun	09:20 AM	-0.47	-14	L
2017/05/14	Sun	04:11 PM	6.31	192	H
2017/05/14	Sun	09:09 PM	3.28	100	L
2017/05/15	Mon	02:56 AM	7.43	226	H
2017/05/15	Mon	10:01 AM	-0.27	-8	L
2017/05/15	Mon	04:59 PM	6.17	188	H
2017/05/15	Mon	09:55 PM	3.48	106	L
2017/05/16	Tue	03:37 AM	7.06	215	H
2017/05/16	Tue	10:45 AM	-0.03	-1	L
2017/05/16	Tue	05:51 PM	6.12	187	H
2017/05/16	Tue	10:50 PM	3.58	109	L
2017/05/17	Wed	04:25 AM	6.67	203	H
